cs_key,city_state,county_name,s_key,population,density,lat,lng,timezone,zips
2481,"Corning,NY",Steuben,32,19296,1319,42.147,-77.0561,America/New_York,14830 14831
2482,"Arbutus,MD",Baltimore,20,19292,1141,39.2428,-76.6922,America/New_York,21227
2483,"White Oak,OH",Hamilton,35,19271,1196,39.2106,-84.6061,America/New_York,45247 45239
2484,"Morristown,NJ",Morris,30,19261,2556,40.7966,-74.4772,America/New_York,07960 07963
2485,"Pinole,CA",Contra Costa,5,19250,1456,37.9931,-122.2834,America/Los_Angeles,94564
2486,"Erlanger,KY",Kenton,17,19246,888,39.0109,-84.5864,America/New_York,41018 41017 41051
2487,"Altoona,IA",Polk,15,19221,680,41.6481,-93.4784,America/Chicago,50009
2488,"Bethany,OK",Oklahoma,36,19221,1419,35.5072,-97.6417,America/Chicago,73008
2489,"Sherrelwood,CO",Adams,6,19208,3053,39.839,-105.0014,America/Denver,80221 80263
2490,"Mineola,NY",Nassau,32,19207,3945,40.7469,-73.6392,America/New_York,11501
2491,"Carlisle,PA",Cumberland,38,19198,1339,40.1999,-77.2042,America/New_York,17013
2492,"Stevenson Ranch,CA",Los Angeles,5,19179,1165,34.3894,-118.5885,America/Los_Angeles,91381
2493,"Highland,UT",Utah,44,19175,856,40.4275,-111.7955,America/Denver,84003
2494,"Liberal,KS",Seward,16,19174,647,37.0466,-100.9295,America/Chicago,67901 67905
2495,"Cameron Park,CA",El Dorado,5,19171,659,38.6737,-120.9872,America/Los_Angeles,95672 95682
2496,"Pinecrest,FL",Miami-Dade,9,19155,992,25.665,-80.3042,America/New_York,33156
2497,"Evergreen Park,IL",Cook,13,19147,2337,41.7213,-87.7013,America/Chicago,60805
2498,"Tiffin,OH",Seneca,35,19130,988,41.1165,-83.1805,America/New_York,44883
2499,"Mount Airy,NC",Surry,33,19119,337,36.5083,-80.6154,America/New_York,27030
2500,"Broadview Heights,OH",Cuyahoga,35,19102,565,41.3195,-81.6782,America/New_York,44147
2501,"Westbrook,ME",Cumberland,19,19074,428,43.6954,-70.3539,America/New_York,04092 04098
2502,"Red Bluff,CA",Tehama,5,19039,742,40.1735,-122.2413,America/Los_Angeles,96080
2503,"Arcadia,FL",DeSoto,9,19038,743,27.2213,-81.8587,America/New_York,34266
2504,"White Oak,MD",Montgomery,20,19020,1942,39.0433,-76.9906,America/New_York,20901 20904 20903 20993
2505,"Fox Crossing,WI",Winnebago,49,19012,598,44.2229,-88.4763,America/Chicago,54952 54956
2506,"McKeesport,PA",Allegheny,38,19009,1454,40.3419,-79.8439,America/New_York,15132 15134
2507,"Bellaire,TX",Harris,43,18971,2036,29.704,-95.4622,America/Chicago,77401 77402
2508,"Troy,AL",Pike,1,18957,258,31.8021,-85.9665,America/Chicago,36079 36081 36082
2509,"Onalaska,WI",La Crosse,49,18943,713,43.8881,-91.2074,America/Chicago,54650
2510,"Lexington,NC",Davidson,33,18933,406,35.8017,-80.2682,America/New_York,27292 27295 27294
2511,"Springboro,OH",Warren,35,18931,783,39.5612,-84.2348,America/New_York,45066
2512,"Whitehall,OH",Franklin,35,18926,1384,39.9682,-82.8833,America/New_York,43213 43219 43216
2513,"Sartell,MN",Stearns,23,18926,726,45.6187,-94.2207,America/Chicago,56377
2514,"Badger,AK",Fairbanks North Star,2,18911,111,64.8006,-147.3877,America/Anchorage,99705 99711
2515,"Five Corners,WA",Clark,47,18908,1254,45.6883,-122.5738,America/Los_Angeles,98662
2516,"McAlester,OK",Pittsburg,36,18896,424,34.9262,-95.7698,America/Chicago,74501 74502
2517,"La Follette,TN",Campbell,42,18884,525,36.3718,-84.1256,America/New_York,37766
2518,"Terrell,TX",Kaufman,43,18869,320,32.7341,-96.2939,America/Chicago,75160 75161
2519,"Natchitoches,LA",Natchitoches,18,18859,297,31.7317,-93.0979,America/Chicago,71457 71469 71458 71497
2520,"Twinsburg,OH",Summit,35,18856,529,41.322,-81.4451,America/New_York,44087
2521,"Central Point,OR",Jackson,37,18848,1850,42.3765,-122.911,America/Los_Angeles,97502
2522,"Seminole,FL",Pinellas,9,18838,1407,27.8435,-82.7839,America/New_York,33772 33777 33778 33775
2523,"Coldwater,MI",Branch,22,18832,488,41.9465,-84.9989,America/Detroit,49036
2524,"St. John,IN",Lake,14,18796,583,41.4431,-87.47,America/Chicago,46373 46311
2525,"Point Pleasant,NJ",Ocean,30,18772,2075,40.0772,-74.0702,America/New_York,8742
2526,"Grandview,WA",Yakima,47,18772,665,46.2444,-119.9091,America/Los_Angeles,98935 98930
2527,"Marshfield,WI",Wood,49,18764,522,44.6627,-90.1728,America/Chicago,54449 54404
2528,"Hawthorne,NJ",Passaic,30,18753,2181,40.9579,-74.1581,America/New_York,7506
2529,"Cimarron Hills,CO",El Paso,6,18727,1217,38.8597,-104.6995,America/Denver,80915 80922 80970
2530,"Alsip,IL",Cook,13,18709,1107,41.6701,-87.7368,America/Chicago,60803
2531,"Avon,IN",Hendricks,14,18706,385,39.7603,-86.3917,America/Indiana/Indianapolis,46123 46213
2532,"Homewood,IL",Cook,13,18703,1384,41.5591,-87.661,America/Chicago,60430
2533,"Port Isabel,TX",Cameron,43,18686,355,26.054,-97.2505,America/Chicago,78578
2534,"Bellwood,IL",Cook,13,18672,3006,41.8829,-87.8762,America/Chicago,60104
2535,"Marinette,WI",Marinette,49,18671,580,45.087,-87.6328,America/Chicago,54143
2536,"Bay City,TX",Matagorda,43,18661,730,28.9838,-95.9601,America/Chicago,77414
2537,"North Valley Stream,NY",Nassau,32,18661,3863,40.684,-73.7077,America/New_York,11580 11003
2538,"Ansonia,CT",New Haven,7,18654,1196,41.3443,-73.0689,America/New_York,6401
2539,"Deerfield,IL",Lake,13,18646,1301,42.1654,-87.8516,America/Chicago,60015
2540,"Westminster,MD",Carroll,20,18640,1077,39.5796,-77.0066,America/New_York,21158 21157
2541,"Creve Coeur,MO",St. Louis,25,18622,699,38.6621,-90.443,America/Chicago,63141 63167
2542,"Seabrook,MD",Prince George's,20,18616,2335,38.9802,-76.8502,America/New_York,20706 20703
2543,"Berea,OH",Cuyahoga,35,18609,1269,41.3696,-81.8642,America/New_York,44017
2544,"Cocoa,FL",Brevard,9,18603,538,28.382,-80.7674,America/New_York,32922 32926
2545,"Moultrie,GA",Colquitt,10,18602,329,31.1591,-83.7708,America/New_York,31768 31788 31776
2546,"Avenel,NJ",Middlesex,30,18592,2062,40.5839,-74.272,America/New_York,7001
2547,"Forest Park,OH",Hamilton,35,18583,1112,39.2861,-84.5259,America/New_York,45240
2548,"Sudley,VA",Prince William,46,18575,2601,38.7878,-77.4961,America/New_York,20109
2549,"Anacortes,WA",Skagit,47,18563,578,48.4878,-122.6292,America/Los_Angeles,98221
2550,"Winthrop,MA",Suffolk,21,18544,3597,42.3751,-70.9847,America/New_York,02128 02152
2551,"Rancho Mirage,CA",Riverside,5,18528,282,33.7634,-116.4271,America/Los_Angeles,92270
2552,"Gibsonton,FL",Hillsborough,9,18515,558,27.826,-82.3761,America/New_York,33534
2553,"Lynden,WA",Whatcom,47,18512,1084,48.9502,-122.4545,America/Los_Angeles,98264
2554,"North Massapequa,NY",Nassau,32,18505,2386,40.7031,-73.4678,America/New_York,11758
2555,"Gautier,MS",Jackson,24,18490,235,30.4106,-88.6568,America/Chicago,39553 39564
2556,"Mayfield Heights,OH",Cuyahoga,35,18487,1711,41.5175,-81.4534,America/New_York,44124
2557,"Breaux Bridge,LA",St. Martin,18,18484,407,30.2829,-91.9043,America/Chicago,70517
2558,"Hopkins,MN",Hennepin,23,18468,1752,44.9261,-93.4056,America/Chicago,55305 55343
2559,"Defiance,OH",Defiance,35,18460,512,41.281,-84.3661,America/New_York,43512
2560,"Iron Mountain,MI",Dickinson,22,18432,374,45.8275,-88.0599,America/Menominee,49801
2561,"Berea,KY",Madison,17,18423,374,37.5904,-84.2898,America/New_York,40404 40403
2562,"Altus,OK",Jackson,36,18418,385,34.6566,-99.3051,America/Chicago,73521 73522
2563,"Bryn Mawr-Skyway,WA",King,47,18414,2502,47.4949,-122.2411,America/Los_Angeles,98178
2564,"Uvalde,TX",Uvalde,43,18406,806,29.2153,-99.7782,America/Chicago,78801
2565,"Brushy Creek,TX",Williamson,43,18399,1091,30.5125,-97.7388,America/Chicago,78681 78717
2566,"Brook Park,OH",Cuyahoga,35,18382,943,41.4036,-81.8219,America/New_York,44142 44188
2567,"North Amityville,NY",Suffolk,32,18382,3014,40.7005,-73.4118,America/New_York,11726 11701
2568,"Wallingford Center,CT",New Haven,7,18360,976,41.4499,-72.8189,America/New_York,06492 06494
2569,"Sunnyside,WA",Yakima,47,18352,859,46.3158,-120.0059,America/Los_Angeles,98944
2570,"World Golf Village,FL",St. Johns,9,18327,263,29.9653,-81.4898,America/New_York,32092 32095
2571,"Sycamore,IL",DeKalb,13,18322,719,41.9951,-88.6812,America/Chicago,60178
2572,"Franklin Farm,VA",Fairfax,46,18321,1489,38.9133,-77.3969,America/New_York,22033 20171
2573,"Chowchilla,CA",Madera,5,18310,637,37.1095,-120.2349,America/Los_Angeles,93610
2574,"Brookfield,IL",Cook,13,18310,2307,41.8245,-87.847,America/Chicago,60513
2575,"Ronkonkoma,NY",Suffolk,32,18309,903,40.804,-73.1258,America/New_York,11779
2576,"Rutherford,NJ",Bergen,30,18303,2541,40.8203,-74.1057,America/New_York,7070
2577,"Merrifield,VA",Fairfax,46,18291,2616,38.8731,-77.2426,America/New_York,22031 22042 22180 22081 22082 22119
2578,"Newburyport,MA",Essex,21,18289,845,42.8124,-70.8878,America/New_York,1950
2579,"Idylwood,VA",Fairfax,46,18273,2518,38.8896,-77.2055,America/New_York,22046 22043
2580,"Kilgore,TX",Gregg,43,18265,308,32.3979,-94.8603,America/Chicago,75662 75663
2581,"Radford,VA",Radford,46,18249,728,37.1229,-80.5587,America/New_York,24142 24141 24143
2582,"Palestine,TX",Anderson,43,18243,352,31.7544,-95.6471,America/Chicago,75801 75803 75802 75882
2583,"Crawfordsville,IN",Montgomery,14,18242,643,40.0428,-86.8975,America/Indiana/Indianapolis,47933
2584,"Springfield,TN",Robertson,42,18241,516,36.4943,-86.8709,America/Chicago,37172
2585,"Boerne,TX",Kendall,43,18232,622,29.7844,-98.7289,America/Chicago,78006
2586,"Hyattsville,MD",Prince George's,20,18230,2627,38.9612,-76.9548,America/New_York,20781 20782 20788
2587,"Lake Placid,FL",Highlands,9,18227,256,27.2977,-81.3715,America/New_York,33852 33862
2588,"St. Michael,MN",Wright,23,18204,215,45.2014,-93.692,America/Chicago,55313 55376
2589,"Maumelle,AR",Pulaski,4,18199,582,34.8522,-92.4,America/Chicago,72113
2590,"Niles,OH",Trumbull,35,18176,815,41.1878,-80.753,America/New_York,44446
2591,"Iselin,NJ",Middlesex,30,18175,2201,40.5702,-74.317,America/New_York,8830
2592,"Menomonie,WI",Dunn,49,18159,467,44.8893,-91.9084,America/Chicago,54751
2593,"Trenton,MI",Wayne,22,18157,967,42.1394,-83.1929,America/Detroit,48183
2594,"Rutland,VT",Rutland,45,18131,771,43.6091,-72.9782,America/New_York,05701 05702
2595,"Imperial,CA",Imperial,5,18120,1121,32.839,-115.5719,America/Los_Angeles,92251
2596,"Orange,TX",Orange,43,18118,316,30.121,-93.7616,America/Chicago,77630 77632 77631
2597,"Otsego,MN",Wright,23,18113,236,45.266,-93.62,America/Chicago,55301 55330 55362
2598,"Madison,IN",Jefferson,14,18109,530,38.7581,-85.3974,America/Indiana/Indianapolis,47250
2599,"St. Matthews,KY",Jefferson,17,18105,1597,38.2497,-85.6383,America/New_York,40222 40207
2600,"Alton,TX",Hidalgo,43,18105,956,26.2884,-98.3098,America/Chicago,78573
2601,"Cudahy,WI",Milwaukee,49,18104,1464,42.9467,-87.8641,America/Chicago,53110
2602,"Round Lake,IL",Lake,13,18100,1257,42.3435,-88.1058,America/Chicago,60073
2603,"Oxon Hill,MD",Prince George's,20,18080,1054,38.7887,-76.9733,America/New_York,20744 20745 20750
2604,"Manchester,MO",St. Louis,25,18073,1386,38.583,-90.5065,America/Chicago,63021 63011
2605,"Beeville,TX",Bee,43,18068,800,28.4059,-97.7494,America/Chicago,78102
2606,"Cary,IL",McHenry,13,18067,1118,42.2129,-88.2493,America/Chicago,60013
2607,"North Wilkesboro,NC",Wilkes,33,18066,244,36.1728,-81.139,America/New_York,28659
2608,"North Aurora,IL",Kane,13,18057,962,41.8083,-88.3413,America/Chicago,60542
2609,"Lithia Springs,GA",Douglas,10,18054,513,33.781,-84.6485,America/New_York,30122
2610,"Bon Air,VA",Chesterfield,46,18052,833,37.5187,-77.5713,America/New_York,23235
2611,"Bensenville,IL",DuPage,13,18044,1271,41.9593,-87.9433,America/Chicago,60106 60105 60399
2612,"Eastlake,OH",Lake,35,18042,1089,41.6581,-81.4323,America/New_York,44095 44097
2613,"Beaver Dam,WI",Dodge,49,18041,868,43.469,-88.8308,America/Chicago,53916
2614,"Safety Harbor,FL",Pinellas,9,18016,1412,28.008,-82.6964,America/New_York,34695
2615,"Mattoon,IL",Coles,13,18016,659,39.4775,-88.3624,America/Chicago,61938
2616,"Macomb,IL",McDonough,13,18006,620,40.4721,-90.6816,America/Chicago,61455
2617,"North Druid Hills,GA",DeKalb,10,18002,1529,33.8186,-84.3254,America/New_York,30329 30324 30033 30359
2618,"West Columbia,SC",Lexington,40,17998,780,33.9931,-81.0932,America/New_York,29169 29171
2619,"Fayetteville,GA",Fayette,10,17991,539,33.45,-84.4709,America/New_York,30214 30215
2620,"Sunland Park,NM",Doña Ana,31,17978,533,31.8194,-106.5943,America/Denver,88063 88008
2621,"Estelle,LA",Jefferson,18,17968,1495,29.8447,-90.1021,America/Chicago,70072
2622,"Mountain House,CA",San Joaquin,5,17966,2172,37.774,-121.5452,America/Los_Angeles,95391
2623,"San Carlos Park,FL",Lee,9,17961,1467,26.4765,-81.8193,America/New_York,33967
2624,"Zachary,LA",East Baton Rouge,18,17949,265,30.6642,-91.1634,America/Chicago,70791
2625,"Kingsland,GA",Camden,10,17949,155,30.8194,-81.7217,America/New_York,31548
2626,"Marco Island,FL",Collier,9,17947,569,25.933,-81.6993,America/New_York,34145 34140 34146
2627,"Huntington,IN",Huntington,14,17942,734,40.8815,-85.5053,America/Indiana/Indianapolis,46750
2628,"Ingleside,TX",San Patricio,43,17940,233,27.87,-97.2077,America/Chicago,78374 78362
2630,"Wantagh,NY",Nassau,32,17915,1806,40.6686,-73.5104,America/New_York,11793
2631,"Lenoir,NC",Caldwell,33,17913,334,35.9096,-81.5247,America/New_York,28645 28633
2632,"Concord,MO",St. Louis,25,17912,1258,38.5117,-90.3574,America/Chicago,63128 63123
2633,"Easton,MD",Talbot,20,17911,561,38.776,-76.0702,America/New_York,21601
2634,"Burke Centre,VA",Fairfax,46,17894,2205,38.7903,-77.2999,America/New_York,22015
2635,"Perry,GA",Houston,10,17894,258,32.4719,-83.7282,America/New_York,31069
2636,"Hannibal,MO",Marion,25,17884,418,39.7097,-91.3939,America/Chicago,63401
2637,"Menasha,WI",Winnebago,49,17873,1139,44.2124,-88.4272,America/Chicago,54952
2638,"Oak Grove,OR",Clackamas,37,17872,1770,45.4156,-122.6349,America/Los_Angeles,97222 97267 97268
2639,"Scarsdale,NY",Westchester,32,17871,1035,40.9902,-73.7773,America/New_York,10583
2640,"Brenham,TX",Washington,43,17863,534,30.1585,-96.3964,America/Chicago,77833 77834
2641,"Ocean Springs,MS",Jackson,24,17862,597,30.4082,-88.7861,America/Chicago,39564 39566
2642,"Dallas,OR",Polk,37,17859,1334,44.9222,-123.3131,America/Los_Angeles,97338
2643,"Woodcrest,CA",Riverside,5,17859,606,33.8789,-117.3686,America/Los_Angeles,92508 92503 92504 92506
2644,"White Settlement,TX",Tarrant,43,17851,1368,32.7554,-97.4605,America/Chicago,76108
2645,"Five Forks,SC",Greenville,40,17844,910,34.8069,-82.2271,America/New_York,29681
2646,"Knightdale,NC",Wake,33,17843,923,35.7918,-78.4955,America/New_York,27610 27545
2647,"Shenandoah,PA",Schuylkill,38,17840,1216,40.8167,-76.2004,America/New_York,17976
2648,"Ada,OK",Pontotoc,36,17840,336,34.7683,-96.6689,America/Chicago,74820 74821
2649,"Crossville,TN",Cumberland,42,17825,222,35.9527,-85.0294,America/Chicago,38571 38555
2650,"Beltsville,MD",Prince George's,20,17812,954,39.0394,-76.9211,America/New_York,20705 20740 20697 20704
2651,"Colonia,NJ",Middlesex,30,17801,1750,40.5929,-74.3151,America/New_York,7067
2652,"Moraga,CA",Contra Costa,5,17783,725,37.8439,-122.1225,America/Los_Angeles,94556 94575
2653,"Midway,FL",Santa Rosa,9,17760,571,30.4138,-87.0261,America/Chicago,32563
2654,"Steubenville,OH",Jefferson,35,17753,650,40.3653,-80.652,America/New_York,43952 43953
2655,"Tavares,FL",Lake,9,17749,563,28.7921,-81.7353,America/New_York,32778
2656,"Belgrade,MT",Gallatin,26,17743,963,45.7796,-111.1751,America/Denver,59714
2657,"Takoma Park,MD",Montgomery,20,17725,3273,38.981,-77.0028,America/New_York,20912 20913
2658,"Dover,NJ",Morris,30,17725,2557,40.8859,-74.5597,America/New_York,7801
2659,"Lackawanna,NY",Erie,32,17720,1044,42.8182,-78.8326,America/New_York,14218
2660,"Melville,NY",Suffolk,32,17716,565,40.7823,-73.4088,America/New_York,11747 11775
2661,"Wailuku,HI",Maui,11,17708,1298,20.8834,-156.5059,Pacific/Honolulu,96793
2662,"Buckhall,VA",Prince William,46,17708,338,38.725,-77.4472,America/New_York,20110 20111 20112
2663,"El Dorado,AR",Union,4,17706,420,33.2184,-92.664,America/Chicago,71730 71731
2664,"Valle Vista,CA",Riverside,5,17663,992,33.7436,-116.8872,America/Los_Angeles,92544
2665,"Cedar Mill,OR",Washington,37,17659,2048,45.5355,-122.8006,America/Los_Angeles,97229 97296
2666,"Albert Lea,MN",Freeborn,23,17656,513,43.6547,-93.3642,America/Chicago,56007
2667,"Madison,NJ",Morris,30,17654,1580,40.7586,-74.417,America/New_York,7940
2668,"Maitland,FL",Orange,9,17652,1268,28.6295,-81.3717,America/New_York,32751 32794 32799
2669,"Gretna,LA",Jefferson,18,17647,1688,29.9101,-90.0515,America/Chicago,70056 70053 70054
2670,"Greenfield,CA",Monterey,5,17646,3165,36.3232,-121.2451,America/Los_Angeles,93927
2671,"Hinsdale,IL",DuPage,13,17637,1474,41.8005,-87.9273,America/Chicago,60521
2672,"Santa Fe Springs,CA",Los Angeles,5,17630,767,33.933,-118.0625,America/Los_Angeles,90670 90610 90671
2673,"Franklin Park,IL",Cook,13,17627,1425,41.9361,-87.8794,America/Chicago,60131
2674,"Bethpage,NY",Nassau,32,17627,1903,40.7495,-73.4856,America/New_York,11714
2675,"East Massapequa,NY",Nassau,32,17622,1987,40.6743,-73.4358,America/New_York,11762 11758
2676,"Kirksville,MO",Adair,25,17602,472,40.1986,-92.5753,America/Chicago,63501
2677,"Nipomo,CA",San Luis Obispo,5,17601,457,35.0323,-120.4991,America/Los_Angeles,93444
2678,"Centerville,UT",Davis,44,17587,1137,40.9284,-111.8849,America/Denver,84014
2679,"Butner,NC",Granville,33,17575,216,36.1285,-78.7502,America/New_York,27522 27509
2680,"Salem,OH",Columbiana,35,17571,697,40.9049,-80.8491,America/New_York,44460
2681,"Tillmans Corner,AL",Mobile,1,17560,522,30.5818,-88.2128,America/Chicago,36582 36619
2682,"Upper Grand Lagoon,FL",Bay,9,17550,837,30.169,-85.7407,America/Chicago,32408 32407 32406 32411
2683,"Anoka,MN",Anoka,23,17549,1017,45.2099,-93.3893,America/Chicago,55303
2684,"Pinewood,FL",Miami-Dade,9,17542,3863,25.8697,-80.2174,America/New_York,33168 33147 33167 33150
2685,"Laurel,VA",Henrico,46,17535,1256,37.6375,-77.5062,America/New_York,23228
2686,"Amesbury,MA",Essex,21,17532,550,42.853,-70.9446,America/New_York,1913
2687,"Marion,IL",Williamson,13,17520,409,37.7173,-88.9279,America/Chicago,62922 62959
2688,"Tallmadge,OH",Summit,35,17519,481,41.1023,-81.4216,America/New_York,44278
2689,"Kingstowne,VA",Fairfax,46,17517,2358,38.7625,-77.1445,America/New_York,22310 22315
